Nome: VITORIA;
Codigo Estacao: 83648;
Latitude: -20.31583333;
Longitude: -40.31694443;
Altitude: 36.2;
Situacao: Operante;
Data Inicial: 1990-01-01;
Data Final: 2020-12-31;
Periodicidade da Medicao: Mensal;
;
Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C)
30/06/2013;23.8
31/07/2013;22.6
31/08/2013;22.9
30/09/2013;23.5
31/10/2013;23.9
30/11/2013;24.8
31/12/2013;257.
31/01/2014;27.3
28/02/2014;27.8
31/03/2014;27.1
30/04/2014;26.0
31/05/2014;24.4
30/06/2014;23.69
31/07/2014;22.1
31/08/2014;22.5
30/09/2014;23.9
31/10/2014;23.7
30/11/2014;25.3
31/12/2014;26.8
31/01/2015;28.0
28/02/2015;28.0
31/03/2015;27.6
30/04/2015;26.1
31/05/2015;23.6
30/06/2015;23.4
31/07/2015;23.4
31/08/2015;23.3
30/09/2015;25.0
31/10/2015;25.7
30/11/2015;27.3
31/12/2015;28.0
31/01/2016;27.0
29/02/2016;28.9
31/03/2016;28.0
30/04/2016;27.7
31/05/2016;24.8
30/06/2016;22.4
31/07/2016;22.7
31/08/2016;23.4
30/09/2016;24.1
31/10/2016;24.2
30/11/2016;24.9
31/12/2016;26.7
31/01/2017;28.0
28/02/2017;27.63
31/03/2017;27.1
30/04/2017;25.6
31/05/2017;23.7
30/06/2017;23.7
31/07/2017;21.1
31/08/2017;21.7
30/09/2017;22.6
31/10/2017;25.0
30/11/2017;24.5
31/12/2017;26.1
31/01/2018;27.5
28/02/2018;26.6
31/03/2018;27.5
30/04/2018;25.1
31/05/2018;23.7
30/06/2018;23.4
31/07/2018;23.4
31/08/2018;22.6
30/09/2018;24.0
31/10/2018;24.6
30/11/2018;25.3
31/12/2018;26.5
31/01/2019;28.4
28/02/2019;28.6
31/03/2019;28.1
30/04/2019;27.3
31/05/2019;25.9
30/06/2019;24.1
31/07/2019;22.5
31/08/2019;22.2
30/09/2019;24.08
31/10/2019;25.3
30/11/2019;25.3
31/12/2019;26.5
31/01/2020;27.0
29/02/2020;27.4
31/03/2020;26.2
30/04/2020;2.5
31/05/2020;null
30/06/2020;23.9
31/07/2020;23.0
31/08/2020;22.6
30/09/2020;25.0
31/10/2020;24.8
30/11/2020;null
31/12/2020;27.1
