BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;;;;;
;Estação (localidade):;;;Aimores;;;;;;;;;;;;;;
Lat.:;Lat.:;-19,494872;;;Long.:;-41,077647;;;;Altitude: ;;79,93;;m;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Insolaçãomed;Tx Abs;Tn Abs
14/03/1976;36;22;28,4;62,25;0;4,7;;8,7;;;;;;;;;;
15/03/1976;35;23;27,8;65,75;0;4;;7,1;;;;;;;;;;
16/03/1976;35;22;27,8;60,5;0;4,2;;9,8;;;;;;;;;;
17/03/1976;35,2;21;27,04;64,75;0;4,8;;8,9;;;;;;;;;;
18/03/1976;36;21;28,2;56,5;0;4,5;;8,8;;;;;;;;;;
19/03/1976;36;22;28,2;66,5;2;4,7;;6,2;;;;;;;;;;
20/03/1976;35;23;28,8;60;0;4,2;;4,8;;;;;;;;;;
21/03/1976;35;23;28,2;73,25;0;4,5;;6,6;;;;;;;;;;
22/03/1976;35;24;28;67;0;3,5;;4,9;;;;;;;;;;
23/03/1976;32;19,8;25,16;72,25;65;3,5;;5,4;;;;;;;;;;
24/03/1976;32;21;26;74,5;0;2,8;;3,1;;;;;;;;;;
25/03/1976;34;22;27,4;66,25;0;2,4;;9,8;;;;;;;;;;
26/03/1976;33;23;27,4;72,75;0;3,7;;5,7;;;;;;;;;;
27/03/1976;35;22;27,8;69;0;3,1;;9,1;;;;;;;;;;
28/03/1976;33;23;27,6;66,5;2;3,7;;7,7;;;;;;;;;;
29/03/1976;34;22;27,4;64,5;0;3,5;;10,8;;;;;;;;;;
30/03/1976;29;21;24,4;83,5;12;3,9;;2,9;;;;;;;;;;
31/03/1976;30;20;25,2;70,75;9;1,7;;5;33,87741935;21,44516129;27,10322581;66,0483871;92;3,806451613;;8,251612903;36,0;19,0
01/04/1976;33;19;25,6;70,25;0;2,8;;10,8;;;;;;;;;;
02/04/1976;33;19;26;65,5;0;3,6;;11,4;;;;;;;;;;
03/04/1976;35;19;26,6;63,75;0;4;;11,6;;;;;;;;;;
04/04/1976;32;21;26,6;69,75;0;3,9;;8,5;;;;;;;;;;
05/04/1976;33;21;25,6;75,75;0;3,2;;8,7;;;;;;;;;;
06/04/1976;34;21;27,6;64,25;3;3,4;;8,9;;;;;;;;;;
07/04/1976;35;20;27,8;60,75;0;3,8;;11,5;;;;;;;;;;
08/04/1976;36;20;27,8;58;0;4,4;;10,9;;;;;;;;;;
09/04/1976;34;20;26,6;63,75;0;4,5;;9,5;;;;;;;;;;
10/04/1976;34;22;27,6;65;0;3,9;;8,3;;;;;;;;;;
11/04/1976;35;20;27,4;62,5;0;3,6;;11,4;;;;;;;;;;
12/04/1976;34;22;26,8;65,5;0;4,1;;9;;;;;;;;;;
13/04/1976;33;22;26,8;60,5;0;4;;9,1;;;;;;;;;;
14/04/1976;32;20;25,4;76,25;0;3,9;;7,2;;;;;;;;;;
15/04/1976;32;21;26;67,5;3;2,4;;10,7;;;;;;;;;;
16/04/1976;31;19;25,4;63,75;0;3,7;;8,4;;;;;;;;;;
17/04/1976;33;19;25,4;68,75;0;3,5;;8,3;;;;;;;;;;
18/04/1976;31;20;25,4;65,25;0;4,9;;6,2;;;;;;;;;;
19/04/1976;31;20;25;68,5;0;3,4;;9,1;;;;;;;;;;
20/04/1976;32;18;25,2;64;0;3,6;;10,3;;;;;;;;;;
21/04/1976;33;17;24,2;62,5;0;4,9;;11;;;;;;;;;;
22/04/1976;35;18;26,2;64;0;4,4;;10,7;;;;;;;;;;
23/04/1976;34;19;24,4;75;0;4,2;;7,8;;;;;;;;;;
24/04/1976;29;19;24,2;70,75;7;3;;1,4;;;;;;;;;;
25/04/1976;33;18;25,2;67,75;0;2,4;;9,8;;;;;;;;;;
26/04/1976;34;18;25,6;69,25;0;3,3;;10,8;;;;;;;;;;
27/04/1976;33;20;25,6;65;0;4,3;;9,8;;;;;;;;;;
28/04/1976;32;20,2;24,64;63,75;0;3,9;;6,9;;;;;;;;;;
29/04/1976;32;17;24,4;64,5;0;4,2;;8,5;;;;;;;;;;
