BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;;;;;
;Estação (localidade):;;;Aimores;;;;;;;;;;;;;;
Lat.:;Lat.:;-19,494872;;;Long.:;-41,077647;;;;Altitude: ;;79,93;;m;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Insolaçãomed;Tx Abs;Tn Abs
13/06/1986;28,8;17,3;23,06;66;0;3,5;;6,9;;;;;;;;;;
14/06/1986;28;18;23,4;60,25;0;3,1;;3,7;;;;;;;;;;
15/06/1986;30;20;23,32;67,25;0;3,4;;7,5;;;;;;;;;;
16/06/1986;30,4;16,4;22,36;64,25;0;3,3;;9,8;;;;;;;;;;
17/06/1986;29;17;22,6;70,25;0;3,9;;5,4;;;;;;;;;;
18/06/1986;29,4;16,4;22,44;65,75;0;3,3;;8,4;;;;;;;;;;
19/06/1986;30,4;20;23,36;65;0;3,6;;5,8;;;;;;;;;;
20/06/1986;29;17;22,08;71;0;3,5;;8,1;;;;;;;;;;
21/06/1986;29;14;20,84;59;0;3,8;;9,3;;;;;;;;;;
22/06/1986;28,2;15;20,84;58,5;0,1;3,6;;6,5;;;;;;;;;;
23/06/1986;27,4;19;21,88;68,25;2;3,7;;8,2;;;;;;;;;;
24/06/1986;27;14,8;20,88;75,5;0;4;;4,6;;;;;;;;;;
25/06/1986;28,6;17,2;21,56;70,75;0,2;2,3;;5,3;;;;;;;;;;
26/06/1986;30;14,9;21,06;65;0;3;;10,1;;;;;;;;;;
27/06/1986;30,2;15,2;21,84;66,75;0;4,2;;10;;;;;;;;;;
28/06/1986;30;16,8;22,04;22,75;0;4;;8,4;;;;;;;;;;
29/06/1986;30,5;16;22,02;64,25;0;3,8;;9,4;;;;;;;;;;
30/06/1986;31,2;15,3;21,42;59,5;0;3,6;;10;28,71;16,90333333;21,97333333;65,04310345;10,1;3,456666667;;6,71;31,2;13,0
01/07/1986;32;15;22;59,5;0;4;;10,1;;;;;;;;;;
02/07/1986;31,2;16;23,12;64,5;0;4,4;;9,1;;;;;;;;;;
03/07/1986;31;16;22,88;62,25;0;3,9;;9,7;;;;;;;;;;
04/07/1986;29,2;17;22,52;65,75;0;4,5;;6,4;;;;;;;;;;
05/07/1986;30,2;17,4;23;66,75;0;3,6;;5,6;;;;;;;;;;
06/07/1986;28;18,4;22,88;71,5;0;3,9;;2,1;;;;;;;;;;
07/07/1986;27,4;17;20,16;82;0;3,6;;5,2;;;;;;;;;;
08/07/1986;23,4;16,9;18,9;73;1,8;2,1;;1,6;;;;;;;;;;
09/07/1986;24,8;13,3;18,54;70,5;0;2,9;;3,8;;;;;;;;;;
10/07/1986;26;11,2;18,44;64,25;0;3,2;;9;;;;;;;;;;
11/07/1986;25,2;15,4;20,28;68;0;3,9;;4,6;;;;;;;;;;
12/07/1986;28,2;13,3;20,14;71,5;0;3,5;;10,2;;;;;;;;;;
13/07/1986;28;13,6;20,52;66,5;0;4,5;;8,4;;;;;;;;;;
14/07/1986;27,2;15,3;20,18;72;0;4;;6;;;;;;;;;;
15/07/1986;27,4;14,1;20,66;71,75;0,7;3,1;;7,8;;;;;;;;;;
16/07/1986;31,2;15;21,4;61,75;0;3,3;;10,1;;;;;;;;;;
17/07/1986;31,6;15,2;22,96;65;0;4,6;;10,4;;;;;;;;;;
18/07/1986;33;16;23,4;65;0;4,5;;9,2;;;;;;;;;;
19/07/1986;32;16;22,2;61;0;5;;9,6;;;;;;;;;;
20/07/1986;32,6;15;22,88;63;0;4,5;;9,9;;;;;;;;;;
21/07/1986;33,6;19;24,68;71,25;0;4,1;;7;;;;;;;;;;
22/07/1986;25,6;21;22,68;70,75;0;4,8;;1,1;;;;;;;;;;
23/07/1986;25,8;18,8;21,56;69;0;3,8;;1,3;;;;;;;;;;
24/07/1986;22,2;17;20,68;74,25;7,5;1,8;;9,2;;;;;;;;;;
25/07/1986;29;17;22,04;74,25;1;1,8;;9,2;;;;;;;;;;
26/07/1986;29,8;16,2;22;72,25;0;2,7;;8,4;;;;;;;;;;
27/07/1986;31;16,2;22,36;70;0;3,3;;9,8;;;;;;;;;;
28/07/1986;32,4;14,9;21,54;65,25;0;3,8;;10,7;;;;;;;;;;
29/07/1986;27,6;20;21,92;72,5;0;5;;4,5;;;;;;;;;;
30/07/1986;29;17;21,68;58,5;0;4;;9,2;;;;;;;;;;
31/07/1986;30,6;13,1;20,7;58;0;4,4;;10,2;28,90967742;16,04193548;21,57741935;67,79032258;11;3,758064516;;7,4;33,6;11,2
01/08/1986;29,2;15,2;21,36;62,5;0;5;;7,6;;;;;;;;;;
02/08/1986;32;15,2;23,24;64,75;0;4;;10,4;;;;;;;;;;
03/08/1986;31,2;19;24,52;73;0;4,6;;8,6;;;;;;;;;;
04/08/1986;32,8;19;24,56;66,75;0;3,7;;8;;;;;;;;;;
05/08/1986;30,2;19,8;24,4;65;0;4,7;;7,1;;;;;;;;;;
06/08/1986;31,4;16,9;23,26;66,25;0;4,8;;10,5;;;;;;;;;;
07/08/1986;29,7;15,8;22,46;67,5;0;4,9;;8;;;;;;;;;;
08/08/1986;29,8;18,8;23,48;64;0;4,1;;9,1;;;;;;;;;;
09/08/1986;30,2;14,9;21,86;71;0;5;;9,4;;;;;;;;;;
10/08/1986;29,6;19,6;23,64;68,5;0;4;;7,8;;;;;;;;;;
11/08/1986;33;17,7;23,82;65,25;0;3,6;;10,3;;;;;;;;;;
12/08/1986;33,4;18,4;25,6;68,75;0;5,4;;10,7;;;;;;;;;;
13/08/1986;31,6;21;25,12;67,5;0;5;;10,7;;;;;;;;;;
14/08/1986;31;17;23,52;70,5;0;5,3;;7,5;;;;;;;;;;
15/08/1986;32;19;25,2;69,75;0;4,8;;10,9;;;;;;;;;;
16/08/1986;32,8;20,7;26,14;66,5;0;5,3;;9,8;;;;;;;;;;
17/08/1986;35,1;20;26,9;69,25;0;5,5;;9,7;;;;;;;;;;
18/08/1986;36;21;26,2;77,75;0;5,7;;10,2;;;;;;;;;;
19/08/1986;30,4;21,3;24,18;84;0;5,5;;4;;;;;;;;;;
20/08/1986;31,4;21;25,72;74,75;6,1;3,5;;4,7;;;;;;;;;;
21/08/1986;28;21,2;23;88,75;7,6;3,3;;0,4;;;;;;;;;;
22/08/1986;26,4;19,4;22,16;86,25;26,8;1,7;;1,3;;;;;;;;;;
23/08/1986;32;19,2;24,68;77;0;1,6;;7,6;;;;;;;;;;
24/08/1986;35;20,1;26,34;64,75;0;3;;9,8;;;;;;;;;;
25/08/1986;33,2;22,4;26,4;76;0;4,9;;5,2;;;;;;;;;;
26/08/1986;26,4;19,4;22,04;90,75;39,2;3,5;;0;;;;;;;;;;
27/08/1986;28,6;20,2;23,28;79,25;4;1;;3,7;;;;;;;;;;
28/08/1986;26,2;19;21,52;73,75;0;2;;3,7;;;;;;;;;;
29/08/1986;29;17,4;22,16;65,75;0;3;;10;;;;;;;;;;
30/08/1986;28;15;21,28;65,25;0;4,5;;8,5;;;;;;;;;;
31/08/1986;29;15,2;22,04;65,5;0;3,7;;9,5;30,79354839;18,70322581;23,87354839;71,49193548;83,7;4,083870968;;7,570967742;36,0;14,9
01/09/1986;27;18,2;21,04;67;0;3,7;;5,1;;;;;;;;;;
02/09/1986;23,4;15;19,16;72,25;0;4,6;;3,4;;;;;;;;;;
03/09/1986;24;16;19,08;79;0;3,2;;2;;;;;;;;;;
04/09/1986;26,4;14;20,16;75,5;0;3;;7,8;;;;;;;;;;
05/09/1986;28;16;21,8;73,5;0;3,6;;9,7;;;;;;;;;;
06/09/1986;29;17;22;79,25;0;3,9;;6,2;;;;;;;;;;
07/09/1986;27;19;22,08;85,5;0;4;;3,9;;;;;;;;;;
08/09/1986;28,4;16;21,28;69,5;0;3,5;;9,9;;;;;;;;;;
09/09/1986;28;14,1;21,02;86;0;4,9;;8,1;;;;;;;;;;
10/09/1986;28,2;14;21,12;65;0;4,1;;10,7;;;;;;;;;;
11/09/1986;29,6;14;21,48;73,5;0;5,3;;11,1;;;;;;;;;;
12/09/1986;29,2;17;22,48;72,5;0;4,7;;10,7;;;;;;;;;;
13/09/1986;31,4;16;24,28;72,5;0;5,2;;10,2;;;;;;;;;;
14/09/1986;31,8;22;26;81,25;0;5;;5,8;;;;;;;;;;
15/09/1986;30,2;23;25,64;82,75;0;4;;1,9;;;;;;;;;;
16/09/1986;33,2;18,6;25,72;73,5;0;4,4;;10,8;;;;;;;;;;
17/09/1986;34;19;26,2;69,25;0;5,2;;10,3;;;;;;;;;;
18/09/1986;34,2;19;26,64;75,5;0;5;;11;;;;;;;;;;
19/09/1986;33;22;26,8;77,5;0;5,2;;10,1;;;;;;;;;;
20/09/1986;31;22;26,4;71,75;0;5,6;;7,1;;;;;;;;;;
21/09/1986;31;20,2;25,68;77,25;0;5;;3,8;;;;;;;;;;
22/09/1986;30,2;21;24,2;77,75;1,4;4;;5,3;;;;;;;;;;
23/09/1986;32;19,4;25,12;67,25;3,4;3,5;;7,5;;;;;;;;;;
24/09/1986;33;18;25,24;67,5;0;4,6;;10,2;;;;;;;;;;
25/09/1986;34,4;20,2;26,92;65;0;5,3;;10,9;;;;;;;;;;
26/09/1986;31,1;22,2;26,26;74,25;0;5,8;;1,6;;;;;;;;;;
27/09/1986;27,4;22;24,88;66,75;0;4,7;;2;;;;;;;;;;
28/09/1986;27;19;22,88;65,25;0;5;;2,5;;;;;;;;;;
29/09/1986;25,2;19,2;22,08;79;0;4,5;;0;;;;;;;;;;
30/09/1986;27;20,2;23,84;74;0,6;3;;0,4;29,51;18,44333333;23,58266667;73,88333333;5,4;4,45;;6,666666667;34,4;14,0
01/10/1986;32,2;18;24,84;65;0;3,2;;9,2;;;;;;;;;;
02/10/1986;31,4;15;22,84;66,75;0;5,2;;12;;;;;;;;;;
03/10/1986;31,2;18,9;24,42;69,5;0;5,4;;11,2;;;;;;;;;;
04/10/1986;31;19,8;24,52;70,25;0;5,2;;2,8;;;;;;;;;;
05/10/1986;33,6;19;25,72;66,75;0;4;;10,4;;;;;;;;;;
06/10/1986;33,4;20,3;25,66;70,75;0;5,6;;8,8;;;;;;;;;;
07/10/1986;36;19;27,4;62,25;0;5,9;;11,6;;;;;;;;;;
08/10/1986;36;21;26,8;72,5;0;5,9;;10,4;;;;;;;;;;
09/10/1986;35,1;20,2;26,66;67,5;0;5,5;;11,4;;;;;;;;;;
10/10/1986;35,1;20,2;26,82;64,75;0;6,4;;11,3;;;;;;;;;;
11/10/1986;33;21;26,4;75,75;0;7,1;;2;;;;;;;;;;
12/10/1986;26,4;20,2;22,52;91;0;5,5;;0;;;;;;;;;;
13/10/1986;27,4;20,4;23,16;82,5;3,6;1,5;;0,2;;;;;;;;;;
14/10/1986;28,2;20,5;23,62;76,25;0;3,5;;1,7;;;;;;;;;;
15/10/1986;26,6;20;22,72;86,5;0;3,9;;0,1;;;;;;;;;;
16/10/1986;32;19,6;24,08;71,25;0;3,4;;7,2;;;;;;;;;;
17/10/1986;33,2;19,9;25,66;62,5;0;5,2;;8,3;;;;;;;;;;
18/10/1986;37,4;17,6;27,52;57,75;0;5,5;;12,1;;;;;;;;;;
19/10/1986;33,6;22,3;27,18;69,75;0;7;;11;;;;;;;;;;
20/10/1986;27,4;22;23,56;80;0;5,8;;0;;;;;;;;;;
21/10/1986;30,2;21;25,24;75,5;0;4;;1,3;;;;;;;;;;
22/10/1986;35,1;22;27,3;69,5;0;4;;6,3;;;;;;;;;;
23/10/1986;33;20,2;24,12;80;0;5,7;;2;;;;;;;;;;
24/10/1986;22,2;20;21,04;81,75;6,6;3,5;;0;;;;;;;;;;
25/10/1986;30,4;17,2;22,64;61,5;0,2;2,6;;11,9;;;;;;;;;;
26/10/1986;28,4;19;23,28;66,25;0;5,9;;3,3;;;;;;;;;;
27/10/1986;24;18;20,52;90,25;0;4,3;;0;;;;;;;;;;
28/10/1986;29,8;19;23,52;81,5;0,3;2,4;;5,4;;;;;;;;;;
29/10/1986;34,4;20,3;26,78;65,25;0;4,3;;10,8;;;;;;;;;;
30/10/1986;34,8;21,2;27,12;72,5;0;6,5;;8,9;;;;;;;;;;
31/10/1986;33;22;26,84;79,75;0;5,5;;6,9;31,46774194;19,83225806;24,85483871;72,67741935;10,7;4,819354839;;6,403225806;37,4;15,0
01/11/1986;33,2;23;27,12;75,25;0;5;;6,8;;;;;;;;;;
02/11/1986;35,1;23;27,94;72,25;0;4,9;;8,1;;;;;;;;;;
03/11/1986;35,8;21,6;28;71,25;0;6,2;;8,2;;;;;;;;;;
04/11/1986;35;23;27,92;73;0;6,3;;7;;;;;;;;;;
05/11/1986;35;23,4;28,16;77;0;5,7;;11;;;;;;;;;;
06/11/1986;36;22;28,52;68;0;8,3;;10;;;;;;;;;;
07/11/1986;35,6;22;28,12;67,5;0;6,5;;9,2;;;;;;;;;;
08/11/1986;34;23;27;71,75;0;6,4;;10,5;;;;;;;;;;
09/11/1986;33;22;26,04;80,25;0;5,1;;6,2;;;;;;;;;;
10/11/1986;33,1;21,4;26,54;73,5;0;4,7;;10,7;;;;;;;;;;
11/11/1986;36,4;21,8;26,16;93;0;6,4;;8,4;;;;;;;;;;
12/11/1986;23;17;19,24;96,75;16,2;5,4;;0;;;;;;;;;;
13/11/1986;19,4;15,6;17,6;97;38,9;0,9;;0;;;;;;;;;;
14/11/1986;24;17;20,64;90;7,4;0,8;;0,5;;;;;;;;;;
15/11/1986;27,2;18;21,96;86,75;2,2;1,9;;3,3;;;;;;;;;;
16/11/1986;28;20,6;23,04;90,25;0;2,7;;3,5;;;;;;;;;;
17/11/1986;33;20,8;25,16;80,25;2,4;2,4;;10,1;;;;;;;;;;
18/11/1986;33;22;25,8;72,75;0;4,5;;10;;;;;;;;;;
19/11/1986;34,4;22;26,28;70,25;0,4;4,1;;9,6;;;;;;;;;;
20/11/1986;34;21,2;26,96;70,25;0;4,4;;12,1;;;;;;;;;;
21/11/1986;35,4;22,2;27,56;68,25;0;5,5;;12,3;;;;;;;;;;
22/11/1986;34;23;27,48;71,75;0;5,4;;9,4;;;;;;;;;;
23/11/1986;36,2;22;28,84;67,5;0;5,4;;10,9;;;;;;;;;;
24/11/1986;33,6;24;27,52;82,5;0;5,7;;9,8;;;;;;;;;;
25/11/1986;35,8;22,1;28,74;71,5;0;5,3;;12,8;;;;;;;;;;
26/11/1986;35,2;24,2;28,96;74,25;0;6,6;;7,9;;;;;;;;;;
27/11/1986;36,8;25;29,6;77,75;0;5,1;;7,7;;;;;;;;;;
28/11/1986;31,6;23,9;26,14;94,5;0;5,3;;1,1;;;;;;;;;;
29/11/1986;32;21,6;25,28;84,25;0,6;1,9;;4,5;;;;;;;;;;
30/11/1986;31;21,8;26,32;83,75;0;4,3;;6,3;32,66;21,67333333;26,15466667;78,43333333;68,1;4,77;;7,596666667;36,8;15,6
01/12/1986;30,2;23;25,32;86;1;2,4;;1,3;;;;;;;;;;
02/12/1986;34;22,4;28,16;71,75;1,2;1,5;;6,1;;;;;;;;;;
03/12/1986;35,6;28;29,96;70,5;0;4,9;;7,3;;;;;;;;;;
04/12/1986;37;29;31;69;0;5,2;;12,1;;;;;;;;;;
05/12/1986;36;29;30,4;68;0;6,1;;11,2;;;;;;;;;;
06/12/1986;36,2;29;31,44;65,5;0;5,8;;9,8;;;;;;;;;;
07/12/1986;37,4;24,5;28,38;78,5;0;6,5;;9,7;;;;;;;;;;
08/12/1986;31,6;23;26,76;88,5;10,4;4,1;;2,8;;;;;;;;;;
09/12/1986;30,2;23;25,24;85,75;1,2;2,4;;1,3;;;;;;;;;;
10/12/1986;32,6;22;26,72;83;6,2;1,6;;5;;;;;;;;;;
11/12/1986;36;24;27;82,25;2,8;2;;8,6;;;;;;;;;;
12/12/1986;31,4;23;25,8;87,75;16,3;3,4;;2,7;;;;;;;;;;
13/12/1986;26,2;23;24,68;95,5;35;1,9;;0;;;;;;;;;;
14/12/1986;31,2;22,2;27,08;80,5;17;0,6;;3,6;;;;;;;;;;
15/12/1986;33;23;27,56;79,25;0;3,7;;11,3;;;;;;;;;;
16/12/1986;33,8;23,4;28,48;77,5;0;4,3;;10,5;;;;;;;;;;
17/12/1986;35,2;23,4;28,52;72,25;0;4,2;;11,9;;;;;;;;;;
18/12/1986;34;22,8;28,4;72,5;0;4,6;;11,4;;;;;;;;;;
19/12/1986;34,4;23,2;28,24;74,5;0;4;;9,1;;;;;;;;;;
20/12/1986;32,4;23;27,16;80,75;0;4,8;;7,2;;;;;;;;;;
21/12/1986;33,2;23;27,92;66,25;0,2;4,6;;9,3;;;;;;;;;;
22/12/1986;31,6;21,8;25,64;83,75;0;5;;5,8;;;;;;;;;;
23/12/1986;27;22;24,16;93,5;5,3;4,2;;0;;;;;;;;;;
24/12/1986;28;22;24,68;91;8;1,4;;0,2;;;;;;;;;;
25/12/1986;30,2;22;25,04;90,25;2;1,7;;0,6;;;;;;;;;;
26/12/1986;29;23;25,12;89,5;6;1,7;;0;;;;;;;;;;
27/12/1986;29;22;25,2;90;2,2;1,9;;1,7;;;;;;;;;;
28/12/1986;31,6;23;26,92;86,25;0,4;2,7;;2,9;;;;;;;;;;
29/12/1986;32,4;22;25,32;90,5;11,2;2,8;;2,7;;;;;;;;;;
30/12/1986;32,8;22;27,12;84,75;4,4;1,7;;5,9;;;;;;;;;;
31/12/1986;31;21,1;25,02;89,75;7,8;3;;6,3;32,39354839;23,47741935;27,04645161;81,44354839;138,6;3,377419355;;5,751612903;37,4;21,1
01/01/1987;32;22,5;27,18;88,25;16,5;2,2;;3;;;;;;;;;;
02/01/1987;33,2;24;28,28;83,25;0;2,7;;9,7;;;;;;;;;;
03/01/1987;32,8;23,8;27,84;84,5;0;3,8;;7,7;;;;;;;;;;
04/01/1987;31,8;22,3;27,06;85,5;0;3,6;;7,5;;;;;;;;;;
05/01/1987;28;21,6;25,6;90;0;3,9;;8,7;;;;;;;;;;
06/01/1987;31;22,2;25,12;92;6,2;3,2;;3,9;;;;;;;;;;
07/01/1987;32,4;21,2;26,4;87,25;25;1,4;;6,1;;;;;;;;;;
08/01/1987;35,1;23;28,06;78;1;2,9;;3,1;;;;;;;;;;
09/01/1987;35,4;23;28,52;78;0;4,5;;10,8;;;;;;;;;;
10/01/1987;35,1;23;28,62;78;0;4;;10,6;;;;;;;;;;
11/01/1987;35,4;25;29,12;73,75;0;4;;11,3;;;;;;;;;;
12/01/1987;35,8;24;29,04;74,5;0;4,6;;11,1;;;;;;;;;;
13/01/1987;35;24,7;29,66;70,75;0;5,2;;12,5;;;;;;;;;;
14/01/1987;35,8;23,3;29,22;67,25;0;5;;12,4;;;;;;;;;;
15/01/1987;35,6;22,5;28,62;68,75;0;5,8;;12,8;;;;;;;;;;
16/01/1987;36,8;23;29,12;71,25;0;5,7;;12,8;;;;;;;;;;
17/01/1987;34,2;24,3;28,66;77,75;0;5,7;;4,2;;;;;;;;;;
18/01/1987;30,6;22,6;26,8;86,25;4,5;3,7;;1,1;;;;;;;;;;
19/01/1987;30,1;20,7;24,72;83,5;19,4;2,1;;2,4;;;;;;;;;;
20/01/1987;29,2;21;24,04;86,25;43,9;2,5;;1,9;;;;;;;;;;
21/01/1987;33;22;26,88;79,25;2;1,9;;9,5;;;;;;;;;;
22/01/1987;34,4;23;26,08;81,75;0;2,7;;7,8;;;;;;;;;;
23/01/1987;32,6;22;25,12;84,5;13,4;2,4;;3,4;;;;;;;;;;
24/01/1987;33;22;27,2;87,75;8,2;2;;6,3;;;;;;;;;;
25/01/1987;34;25;28,8;85,25;0;3;;7,1;;;;;;;;;;
26/01/1987;34;23;27,6;84,75;4,5;3;;6,7;;;;;;;;;;
27/01/1987;35,6;23,4;28,28;73,75;0;2,8;;6,4;;;;;;;;;;
28/01/1987;33,8;23,6;26,28;85,25;7,4;3,6;;6,7;;;;;;;;;;
29/01/1987;32;22,3;26,7;79;9,1;2,6;;2,6;;;;;;;;;;
30/01/1987;34;23,5;28,22;68;0;2,8;;11;;;;;;;;;;
31/01/1987;33,4;22,7;27,74;66,25;0;4,1;;10,9;33,39032258;22,90967742;27,43806452;80,00806452;161,1;3,464516129;;7,483870968;36,8;20,7
01/02/1987;34,2;22;27,8;69,5;0;4,4;;9,2;;;;;;;;;;
02/02/1987;36;22,3;27,66;79;0;3,8;;9,8;;;;;;;;;;
03/02/1987;37;24;29,6;72,75;0;3,8;;9,9;;;;;;;;;;
04/02/1987;36;24;28,8;67,25;0;4,4;;10,6;;;;;;;;;;
05/02/1987;34,6;23;27,92;70;0;5,6;;8,8;;;;;;;;;;
06/02/1987;37;24;29,4;65,25;0;4,9;;11,8;;;;;;;;;;
07/02/1987;37;24;29,68;68;0;5,7;;10,1;;;;;;;;;;
08/02/1987;37,4;23,4;29,8;65,75;0;5,6;;11,9;;;;;;;;;;
09/02/1987;36,2;22,2;28,4;73;0;5,7;;11;;;;;;;;;;
10/02/1987;35,4;22,6;27,32;77,75;0;6;;9,8;;;;;;;;;;
11/02/1987;29,6;21,3;24,66;88,5;0,3;4,6;;0,9;;;;;;;;;;
12/02/1987;33,2;19,5;24,98;81,75;1;3,1;;9,2;;;;;;;;;;
13/02/1987;33,8;21,1;26,14;81,5;1;4,1;;8,2;;;;;;;;;;
14/02/1987;35;20,7;26,38;83,5;3,2;2,5;;8,8;;;;;;;;;;
15/02/1987;34,4;22,2;27,52;78,25;0;3,5;;5,5;;;;;;;;;;
16/02/1987;35,1;22,3;27,48;81,25;0;4,1;;7,6;;;;;;;;;;
17/02/1987;32;25;27,4;85,5;0;4,1;;2,4;;;;;;;;;;
18/02/1987;33;23;27,4;83,75;10,4;3;;0,2;;;;;;;;;;
19/02/1987;35,1;22;27,62;79,25;0;3,5;;8,9;;;;;;;;;;
20/02/1987;34;22,2;27,08;84,75;0;7,4;;7,9;;;;;;;;;;
21/02/1987;33,2;22;27,24;83,75;6,3;4;;7,4;;;;;;;;;;
22/02/1987;33,2;24;27,48;92,5;3,9;4;;7,4;;;;;;;;;;
23/02/1987;32;23;26;90,25;1;3,2;;3,2;;;;;;;;;;
24/02/1987;32,2;21,7;26,54;88,5;3,8;2,4;;4,3;;;;;;;;;;
25/02/1987;31,8;22,4;26,4;87,75;0;2,7;;6,1;;;;;;;;;;
26/02/1987;35,2;23;27,84;82,75;4,4;2,9;;12;;;;;;;;;;
27/02/1987;32,8;23;27,6;78,5;0,2;4;;9,7;;;;;;;;;;
28/02/1987;35,2;22,7;28,42;77,25;0;4,1;;11,8;34,34285714;22,59285714;27,52;79,19642857;35,5;4,182142857;;8,014285714;37,4;19,5
01/03/1987;36,8;22;29,12;71,5;0;4,6;;11,1;;;;;;;;;;
02/03/1987;36;23,8;28,4;78,75;0;5,5;;10,2;;;;;;;;;;
03/03/1987;37,2;23,3;28,7;68,25;0;5,7;;11,5;;;;;;;;;;
04/03/1987;36,2;23;28,36;74,5;0,7;5,7;;11,2;;;;;;;;;;
05/03/1987;35,1;22,2;28,22;77;2;5,1;;7,3;;;;;;;;;;
06/03/1987;34;23;27,52;80;17,4;4,5;;5,7;;;;;;;;;;
07/03/1987;34;24,2;28,24;89;0;3,4;;7,5;;;;;;;;;;
08/03/1987;33;24;26,6;91,5;0;3,6;;3,8;;;;;;;;;;
09/03/1987;31;23;25,68;94,25;44,6;1,9;;0,9;;;;;;;;;;
10/03/1987;33;24;27,44;87,75;3,4;1,1;;4;;;;;;;;;;
11/03/1987;33,8;24;27;84,75;1;3,6;;3,9;;;;;;;;;;
12/03/1987;28,2;22,5;24,74;94;67,8;2,6;;0;;;;;;;;;;
13/03/1987;29;20,9;23,94;90,5;5,5;1,6;;7,2;;;;;;;;;;
14/03/1987;32;20,6;24,28;88,25;1,7;1,6;;7,6;;;;;;;;;;
15/03/1987;32,8;21,8;25,44;86,5;4,2;2;;7,7;;;;;;;;;;
16/03/1987;32;21,8;25,32;86,5;1,9;2,2;;7,8;;;;;;;;;;
17/03/1987;31;21,2;25,12;89,25;7;2,5;;6,4;;;;;;;;;;
18/03/1987;31,4;22;25,68;81,75;8,6;2;;5,8;;;;;;;;;;
19/03/1987;32,6;20,2;25,4;77;0;3,5;;9,5;;;;;;;;;;
20/03/1987;33;21,2;25,32;81,5;0;3,2;;8,7;;;;;;;;;;
21/03/1987;33,4;22;26,08;79,75;0;3,3;;9;;;;;;;;;;
22/03/1987;;;;;;;;;;;;;;;;;;
23/03/1987;34,6;22;26,6;82,25;0;3;;9,2;;;;;;;;;;
24/03/1987;34,8;20,3;26,62;77;2;3,3;;11;;;;;;;;;;
25/03/1987;33;22,3;26,78;77,25;3;3,4;;11,1;;;;;;;;;;
26/03/1987;34;21,5;26,66;77;0;3,8;;10,3;;;;;;;;;;
27/03/1987;33,6;20,6;26,16;72,75;0;3,6;;7,9;;;;;;;;;;
28/03/1987;34;22,8;27,4;68,75;0;4,1;;10,4;;;;;;;;;;
29/03/1987;33,8;21,5;26,3;78,75;0;4,2;;8,5;;;;;;;;;;
30/03/1987;34;20,2;25,48;77,5;0;3,3;;9,6;;;;;;;;;;
31/03/1987;33;21,2;26,76;74,5;0;3,2;;9,4;33,34333333;22,10333333;26,512;81,26666667;170,8;3,37;;7,806666667;37,2;20,2
01/04/1987;34;22;26,96;78;0;3,3;;10,5;;;;;;;;;;
02/04/1987;36,2;23;27,56;77;0;3,5;;10;;;;;;;;;;
03/04/1987;35,1;24;28,62;74,25;0;4;;9,7;;;;;;;;;;
04/04/1987;31;24;25,6;88,75;1,4;4,5;;1,1;;;;;;;;;;
05/04/1987;32,4;23;26;81,5;3,4;1,5;;6,4;;;;;;;;;;
06/04/1987;32;24;26,6;85,75;1,4;2,7;;5,9;;;;;;;;;;
07/04/1987;34;23;27,6;82,25;0;2,3;;9,1;;;;;;;;;;
08/04/1987;34,2;21;26,12;83,5;4,4;3,2;;6,5;;;;;;;;;;
09/04/1987;35,4;22,7;28,3;75;0;2,3;;10,6;;;;;;;;;;
10/04/1987;35;22;27,48;75,5;0;4;;10,7;;;;;;;;;;
11/04/1987;34,6;23,2;28,08;77,5;0;3,3;;10,7;;;;;;;;;;
12/04/1987;34,2;21,1;27,06;80;0;3,8;;5,9;;;;;;;;;;
13/04/1987;34,6;22,1;27,38;74,75;0;3,2;;10,5;;;;;;;;;;
14/04/1987;34,4;23;27,44;75;0;4,5;;9;;;;;;;;;;
15/04/1987;34;23;27,2;79,25;0;3,4;;10,2;;;;;;;;;;
16/04/1987;30,2;21;25,04;85;0;3,6;;4,1;;;;;;;;;;
17/04/1987;31;21;25,4;83;5,2;1,5;;5;;;;;;;;;;
18/04/1987;32;20;25,48;78,75;0;3,5;;7,5;;;;;;;;;;
19/04/1987;34;22;26,64;76,25;0;4;;9,4;;;;;;;;;;
20/04/1987;34;20,2;25,68;82;0;4,2;;7,9;;;;;;;;;;
21/04/1987;34,1;20,6;27,06;78,75;0;4,6;;10,5;;;;;;;;;;
22/04/1987;31;21,7;26,54;83;4,6;4,5;;7;;;;;;;;;;
23/04/1987;33,6;20,9;25,82;79;0;3,1;;7,5;;;;;;;;;;
24/04/1987;33,8;20;25,28;82;0;3,8;;7;;;;;;;;;;
25/04/1987;33;20,6;24,72;81,75;0;3,8;;8,6;;;;;;;;;;
26/04/1987;32;18,3;23,74;81,5;1,8;3,8;;8;;;;;;;;;;
27/04/1987;34,4;19,4;25,76;71,75;0;2,9;;9,8;;;;;;;;;;
28/04/1987;31,2;19,3;24,3;77,25;0;4,9;;7,7;;;;;;;;;;
29/04/1987;30,2;20,2;24,16;78;0;4,2;;3,7;;;;;;;;;;
